,state_name,year,value_all,value_housing,State,Total Children Under 18
0,Alabama,year2010,2433,281.0,Alabama,1088727
1,Alabama,year2011,2511,251.0,Alabama,1088727
2,Alabama,year2012,2155,267.0,Alabama,1088727
3,Alabama,year2013,2387,304.0,Alabama,1088727
4,Alabama,year2014,2496,323.0,Alabama,1088727
5,Alabama,year2015,2845,375.0,Alabama,1088727
6,Alabama,year2016,2913,409.0,Alabama,1088727
7,Alabama,year2017,3286,455.0,Alabama,1088727
8,Alabama,year2018,3158,475.0,Alabama,1088727
9,Alabama,year2019,3019,418.0,Alabama,1088727
10,Alabama,year2020,2592,352.0,Alabama,1088727
11,Alaska,year2010,669,39.0,Alaska,180442
12,Alaska,year2011,704,48.0,Alaska,180442
13,Alaska,year2012,723,51.0,Alaska,180442
14,Alaska,year2013,792,47.0,Alaska,180442
15,Alaska,year2014,931,48.0,Alaska,180442
16,Alaska,year2015,1154,60.0,Alaska,180442
17,Alaska,year2016,1050,58.0,Alaska,180442
18,Alaska,year2017,955,42.0,Alaska,180442
19,Alaska,year2018,1042,35.0,Alaska,180442
20,Alaska,year2019,1184,51.0,Alaska,180442
21,Alaska,year2020,945,28.0,Alaska,180442
22,Arizona,year2010,5968,2155.0,Arizona,1641727
23,Arizona,year2011,6512,2422.0,Arizona,1641727
24,Arizona,year2012,8425,2121.0,Arizona,1641727
25,Arizona,year2013,8257,35.0,Arizona,1641727
26,Arizona,year2014,9516,59.0,Arizona,1641727
27,Arizona,year2015,9886,369.0,Arizona,1641727
28,Arizona,year2016,8650,332.0,Arizona,1641727
29,Arizona,year2017,7486,342.0,Arizona,1641727
30,Arizona,year2018,6927,268.0,Arizona,1641727
31,Arizona,year2019,7438,336.0,Arizona,1641727
32,Arizona,year2020,7125,301.0,Arizona,1641727
33,Arkansas,year2010,3032,292.0,Arkansas,701317
34,Arkansas,year2011,2896,232.0,Arkansas,701317
35,Arkansas,year2012,2995,266.0,Arkansas,701317
36,Arkansas,year2013,2912,205.0,Arkansas,701317
37,Arkansas,year2014,2799,282.0,Arkansas,701317
38,Arkansas,year2015,3354,283.0,Arkansas,701317
39,Arkansas,year2016,3242,320.0,Arkansas,701317
40,Arkansas,year2017,2855,267.0,Arkansas,701317
41,Arkansas,year2018,2309,245.0,Arkansas,701317
42,Arkansas,year2019,2373,291.0,Arkansas,701317
43,Arkansas,year2020,2370,204.0,Arkansas,701317
44,California,year2010,25341,864.0,California,8881104
45,California,year2011,24440,831.0,California,8881104
46,California,year2012,24766,779.0,California,8881104
47,California,year2013,25883,827.0,California,8881104
48,California,year2014,25741,1017.0,California,8881104
49,California,year2015,24395,813.0,California,8881104
50,California,year2016,23767,800.0,California,8881104
51,California,year2017,21374,955.0,California,8881104
52,California,year2018,20588,797.0,California,8881104
53,California,year2019,21654,763.0,California,8881104
54,California,year2020,17999,552.0,California,8881104
55,Colorado,year2010,4435,312.0,Colorado,1256673
56,Colorado,year2011,4148,343.0,Colorado,1256673
57,Colorado,year2012,3871,330.0,Colorado,1256673
58,Colorado,year2013,3648,349.0,Colorado,1256673
59,Colorado,year2014,3663,385.0,Colorado,1256673
60,Colorado,year2015,3834,372.0,Colorado,1256673
61,Colorado,year2016,4066,547.0,Colorado,1256673
62,Colorado,year2017,3933,401.0,Colorado,1256673
63,Colorado,year2018,3617,422.0,Colorado,1256673
64,Colorado,year2019,3346,424.0,Colorado,1256673
65,Colorado,year2020,2701,252.0,Colorado,1256673
66,Connecticut,year2010,1915,263.0,Connecticut,727280
67,Connecticut,year2011,1684,253.0,Connecticut,727280
68,Connecticut,year2012,1270,176.0,Connecticut,727280
69,Connecticut,year2013,1417,197.0,Connecticut,727280
70,Connecticut,year2014,1339,204.0,Connecticut,727280
71,Connecticut,year2015,1370,218.0,Connecticut,727280
72,Connecticut,year2016,1586,272.0,Connecticut,727280
73,Connecticut,year2017,1492,227.0,Connecticut,727280
74,Connecticut,year2018,1642,242.0,Connecticut,727280
75,Connecticut,year2019,1504,199.0,Connecticut,727280
76,Connecticut,year2020,938,102.0,Connecticut,727280
77,Delaware,year2010,318,5.0,Delaware,204263
78,Delaware,year2011,427,16.0,Delaware,204263
79,Delaware,year2012,378,31.0,Delaware,204263
80,Delaware,year2013,295,7.0,Delaware,204263
81,Delaware,year2014,254,8.0,Delaware,204263
82,Delaware,year2015,310,13.0,Delaware,204263
83,Delaware,year2016,398,32.0,Delaware,204263
84,Delaware,year2017,360,16.0,Delaware,204263
85,Delaware,year2018,303,49.0,Delaware,204263
86,Delaware,year2019,238,27.0,Delaware,204263
87,Delaware,year2020,203,22.0,Delaware,204263
88,District of Columbia,year2010,593,29.0,District of Columbia,127952
89,District of Columbia,year2011,422,10.0,District of Columbia,127952
90,District of Columbia,year2012,337,8.0,District of Columbia,127952
91,District of Columbia,year2013,314,7.0,District of Columbia,127952
92,District of Columbia,year2014,297,4.0,District of Columbia,127952
93,District of Columbia,year2015,345,5.0,District of Columbia,127952
94,District of Columbia,year2016,281,5.0,District of Columbia,127952
95,District of Columbia,year2017,231,8.0,District of Columbia,127952
96,District of Columbia,year2018,263,12.0,District of Columbia,127952
97,District of Columbia,year2019,247,3.0,District of Columbia,127952
98,District of Columbia,year2020,146,1.0,District of Columbia,127952
99,Florida,year2010,11196,1372.0,Florida,4233967
100,Florida,year2011,12476,1546.0,Florida,4233967
101,Florida,year2012,11819,1387.0,Florida,4233967
102,Florida,year2013,10915,1307.0,Florida,4233967
103,Florida,year2014,11997,1428.0,Florida,4233967
104,Florida,year2015,13542,1458.0,Florida,4233967
105,Florida,year2016,13332,1485.0,Florida,4233967
106,Florida,year2017,12645,1335.0,Florida,4233967
107,Florida,year2018,12125,1504.0,Florida,4233967
108,Florida,year2019,11771,1320.0,Florida,4233967
109,Florida,year2020,10068,1220.0,Florida,4233967
110,Georgia,year2010,4168,950.0,Georgia,2505399
111,Georgia,year2011,5138,1035.0,Georgia,2505399
112,Georgia,year2012,4796,888.0,Georgia,2505399
113,Georgia,year2013,4601,850.0,Georgia,2505399
114,Georgia,year2014,5933,1268.0,Georgia,2505399
115,Georgia,year2015,6757,1458.0,Georgia,2505399
116,Georgia,year2016,6407,1305.0,Georgia,2505399
117,Georgia,year2017,6093,1339.0,Georgia,2505399
118,Georgia,year2018,5975,1183.0,Georgia,2505399
119,Georgia,year2019,5042,1111.0,Georgia,2505399
120,Georgia,year2020,3408,727.0,Georgia,2505399
121,Hawaii,year2010,700,38.0,Hawaii,299419
122,Hawaii,year2011,806,26.0,Hawaii,299419
123,Hawaii,year2012,780,37.0,Hawaii,299419
124,Hawaii,year2013,774,30.0,Hawaii,299419
125,Hawaii,year2014,851,46.0,Hawaii,299419
126,Hawaii,year2015,915,38.0,Hawaii,299419
127,Hawaii,year2016,881,31.0,Hawaii,299419
128,Hawaii,year2017,891,33.0,Hawaii,299419
129,Hawaii,year2018,900,36.0,Hawaii,299419
130,Hawaii,year2019,929,15.0,Hawaii,299419
131,Hawaii,year2020,704,24.0,Hawaii,299419
132,Idaho,year2010,1039,195.0,Idaho,448116
133,Idaho,year2011,952,159.0,Idaho,448116
134,Idaho,year2012,811,118.0,Idaho,448116
135,Idaho,year2013,922,139.0,Idaho,448116
136,Idaho,year2014,852,174.0,Idaho,448116
137,Idaho,year2015,945,155.0,Idaho,448116
138,Idaho,year2016,1010,182.0,Idaho,448116
139,Idaho,year2017,976,224.0,Idaho,448116
140,Idaho,year2018,1104,251.0,Idaho,448116
141,Idaho,year2019,975,193.0,Idaho,448116
142,Idaho,year2020,844,143.0,Idaho,448116
143,Illinois,year2010,4172,,Illinois,2817312
144,Illinois,year2011,3281,,Illinois,2817312
145,Illinois,year2012,3483,,Illinois,2817312
146,Illinois,year2013,3577,,Illinois,2817312
147,Illinois,year2014,3777,,Illinois,2817312
148,Illinois,year2015,3742,,Illinois,2817312
149,Illinois,year2016,3385,,Illinois,2817312
150,Illinois,year2017,3747,,Illinois,2817312
151,Illinois,year2018,4447,,Illinois,2817312
152,Illinois,year2019,5292,,Illinois,2817312
153,Illinois,year2020,6024,,Illinois,2817312
154,Indiana,year2010,7005,373.0,Indiana,1569375
155,Indiana,year2011,5634,308.0,Indiana,1569375
156,Indiana,year2012,6014,729.0,Indiana,1569375
157,Indiana,year2013,6039,1127.0,Indiana,1569375
158,Indiana,year2014,7182,1388.0,Indiana,1569375
159,Indiana,year2015,8714,1468.0,Indiana,1569375
160,Indiana,year2016,9980,1633.0,Indiana,1569375
161,Indiana,year2017,9903,1616.0,Indiana,1569375
162,Indiana,year2018,7646,1403.0,Indiana,1569375
163,Indiana,year2019,7050,1253.0,Indiana,1569375
164,Indiana,year2020,6353,974.0,Indiana,1569375
165,Iowa,year2010,3669,161.0,Iowa,728005
166,Iowa,year2011,3345,118.0,Iowa,728005
167,Iowa,year2012,3282,130.0,Iowa,728005
168,Iowa,year2013,3437,108.0,Iowa,728005
169,Iowa,year2014,2864,99.0,Iowa,728005
170,Iowa,year2015,3030,120.0,Iowa,728005
171,Iowa,year2016,2925,107.0,Iowa,728005
172,Iowa,year2017,3211,99.0,Iowa,728005
173,Iowa,year2018,3080,119.0,Iowa,728005
174,Iowa,year2019,2826,78.0,Iowa,728005
175,Iowa,year2020,1896,63.0,Iowa,728005
176,Kansas,year2010,2756,269.0,Kansas,701453
177,Kansas,year2011,2621,283.0,Kansas,701453
178,Kansas,year2012,2892,351.0,Kansas,701453
179,Kansas,year2013,2949,393.0,Kansas,701453
180,Kansas,year2014,2934,411.0,Kansas,701453
181,Kansas,year2015,3131,344.0,Kansas,701453
182,Kansas,year2016,2953,319.0,Kansas,701453
183,Kansas,year2017,3000,346.0,Kansas,701453
184,Kansas,year2018,3230,394.0,Kansas,701453
185,Kansas,year2019,3272,279.0,Kansas,701453
186,Kansas,year2020,2087,38.0,Kansas,701453
187,Kentucky,year2010,4318,352.0,Kentucky,1004268
188,Kentucky,year2011,4076,376.0,Kentucky,1004268
189,Kentucky,year2012,4426,379.0,Kentucky,1004268
190,Kentucky,year2013,4382,415.0,Kentucky,1004268
191,Kentucky,year2014,4422,373.0,Kentucky,1004268
192,Kentucky,year2015,4136,336.0,Kentucky,1004268
193,Kentucky,year2016,4427,423.0,Kentucky,1004268
194,Kentucky,year2017,4806,450.0,Kentucky,1004268
195,Kentucky,year2018,6045,646.0,Kentucky,1004268
196,Kentucky,year2019,4949,524.0,Kentucky,1004268
197,Kentucky,year2020,3670,344.0,Kentucky,1004268
198,Louisiana,year2010,2505,41.0,Louisiana,1089906
199,Louisiana,year2011,3024,44.0,Louisiana,1089906
200,Louisiana,year2012,2301,40.0,Louisiana,1089906
201,Louisiana,year2013,2712,46.0,Louisiana,1089906
202,Louisiana,year2014,3165,13.0,Louisiana,1089906
203,Louisiana,year2015,3226,14.0,Louisiana,1089906
204,Louisiana,year2016,2857,6.0,Louisiana,1089906
205,Louisiana,year2017,2779,9.0,Louisiana,1089906
206,Louisiana,year2018,2789,13.0,Louisiana,1089906
207,Louisiana,year2019,2113,6.0,Louisiana,1089906
208,Louisiana,year2020,1696,16.0,Louisiana,1089906
209,Maine,year2010,593,109.0,Maine,249610
210,Maine,year2011,421,85.0,Maine,249610
211,Maine,year2012,705,160.0,Maine,249610
212,Maine,year2013,735,182.0,Maine,249610
213,Maine,year2014,683,168.0,Maine,249610
214,Maine,year2015,665,179.0,Maine,249610
215,Maine,year2016,716,141.0,Maine,249610
216,Maine,year2017,636,125.0,Maine,249610
217,Maine,year2018,880,135.0,Maine,249610
218,Maine,year2019,975,78.0,Maine,249610
219,Maine,year2020,819,61.0,Maine,249610
220,Maryland,year2010,2148,196.0,Maryland,1338232
221,Maryland,year2011,2166,180.0,Maryland,1338232
222,Maryland,year2012,1990,178.0,Maryland,1338232
223,Maryland,year2013,1770,162.0,Maryland,1338232
224,Maryland,year2014,1597,138.0,Maryland,1338232
225,Maryland,year2015,1664,149.0,Maryland,1338232
226,Maryland,year2016,1743,137.0,Maryland,1338232
227,Maryland,year2017,1865,170.0,Maryland,1338232
228,Maryland,year2018,1799,171.0,Maryland,1338232
229,Maryland,year2019,1438,111.0,Maryland,1338232
230,Maryland,year2020,1224,93.0,Maryland,1338232
231,Massachusetts,year2010,4251,152.0,Massachusetts,1353615
232,Massachusetts,year2011,4009,101.0,Massachusetts,1353615
233,Massachusetts,year2012,4156,140.0,Massachusetts,1353615
234,Massachusetts,year2013,4278,167.0,Massachusetts,1353615
235,Massachusetts,year2014,5179,174.0,Massachusetts,1353615
236,Massachusetts,year2015,4663,146.0,Massachusetts,1353615
237,Massachusetts,year2016,4814,154.0,Massachusetts,1353615
238,Massachusetts,year2017,4581,164.0,Massachusetts,1353615
239,Massachusetts,year2018,4386,141.0,Massachusetts,1353615
240,Massachusetts,year2019,4056,127.0,Massachusetts,1353615
241,Massachusetts,year2020,3209,78.0,Massachusetts,1353615
242,Michigan,year2010,6189,170.0,Michigan,2144307
243,Michigan,year2011,5680,63.0,Michigan,2144307
244,Michigan,year2012,5510,105.0,Michigan,2144307
245,Michigan,year2013,5936,124.0,Michigan,2144307
246,Michigan,year2014,5974,664.0,Michigan,2144307
247,Michigan,year2015,4718,898.0,Michigan,2144307
248,Michigan,year2016,4847,729.0,Michigan,2144307
249,Michigan,year2017,5066,878.0,Michigan,2144307
250,Michigan,year2018,4597,827.0,Michigan,2144307
251,Michigan,year2019,4320,785.0,Michigan,2144307
252,Michigan,year2020,3080,462.0,Michigan,2144307
253,Minnesota,year2010,4489,181.0,Minnesota,1303212
254,Minnesota,year2011,4684,178.0,Minnesota,1303212
255,Minnesota,year2012,4666,195.0,Minnesota,1303212
256,Minnesota,year2013,4598,213.0,Minnesota,1303212
257,Minnesota,year2014,4778,261.0,Minnesota,1303212
258,Minnesota,year2015,5340,304.0,Minnesota,1303212
259,Minnesota,year2016,5516,374.0,Minnesota,1303212
260,Minnesota,year2017,5662,285.0,Minnesota,1303212
261,Minnesota,year2018,5103,285.0,Minnesota,1303212
262,Minnesota,year2019,4616,304.0,Minnesota,1303212
263,Minnesota,year2020,3646,151.0,Minnesota,1303212
264,Mississippi,year2010,2015,384.0,Mississippi,699984
265,Mississippi,year2011,1861,423.0,Mississippi,699984
266,Mississippi,year2012,1878,376.0,Mississippi,699984
267,Mississippi,year2013,2005,338.0,Mississippi,699984
268,Mississippi,year2014,2290,400.0,Mississippi,699984
269,Mississippi,year2015,2426,507.0,Mississippi,699984
270,Mississippi,year2016,2914,569.0,Mississippi,699984
271,Mississippi,year2017,2413,491.0,Mississippi,699984
272,Mississippi,year2018,1883,453.0,Mississippi,699984
273,Mississippi,year2019,1821,477.0,Mississippi,699984
274,Mississippi,year2020,1332,288.0,Mississippi,699984
275,Missouri,year2010,4541,699.0,Missouri,1374703
276,Missouri,year2011,4497,796.0,Missouri,1374703
277,Missouri,year2012,4779,964.0,Missouri,1374703
278,Missouri,year2013,4882,929.0,Missouri,1374703
279,Missouri,year2014,5479,1113.0,Missouri,1374703
280,Missouri,year2015,5232,939.0,Missouri,1374703
281,Missouri,year2016,5608,946.0,Missouri,1374703
282,Missouri,year2017,5158,974.0,Missouri,1374703
283,Missouri,year2018,5224,1046.0,Missouri,1374703
284,Missouri,year2019,5267,992.0,Missouri,1374703
285,Missouri,year2020,4710,858.0,Missouri,1374703
286,Montana,year2010,750,,Montana,228888
287,Montana,year2011,831,,Montana,228888
288,Montana,year2012,1026,,Montana,228888
289,Montana,year2013,1073,,Montana,228888
290,Montana,year2014,1051,,Montana,228888
